time,posx,posz,velx,velz,accx,accz,pitch,draught,force
9.312000000000278,-0.22743470622584375, 0.34652004087110605, -0.13644336192189602, -0.21184454246803225, 0.7859400119848401, -0.9704335681838568, 0.02858035488417676, 0.06904698508669896, 43.56596904029201
9.313000000000278,-0.22756996995933526, 0.3463067409809974, -0.1356569429683114, -0.2128147742284493, 0.7868978951843695, -0.970029952650247, 0.02865021337568038, 0.069179204008466, 43.54400382743201
9.314000000000277,-0.22770444583726815, 0.3460924714690382, -0.13486956627803312, -0.21378459938226513, 0.7878554853721954, -0.9696203549814123, 0.028720397539448096, 0.06931187023520657, 43.52210119352602
9.315000000000277,-0.22783813290235308, 0.345877232750816, -0.13408123214930553, -0.21475401194222396, 0.7888127720829666, -0.9692047649362446, 0.028790907678538865, 0.06944498345545144, 43.50026096028643
9.316000000000276,-0.2279710301976147, 0.34566102524792086, -0.13329194089084254, -0.21572300591081525, 0.7897697448430331, -0.9687831722463369, 0.028861744081969433, 0.06957854335197051, 43.478482949933564
9.317000000000276,-0.22810313676640204, 0.3454438493879559, -0.13250169282183583, -0.21669157528024635, 0.7907263931703659, -0.9683555666158472, 0.028932907024687746, 0.06971254960177098, 43.456766985194236
9.318000000000275,-0.22823445165239906, 0.3452257056045474, -0.13171048827196338, -0.21765971403241505, 0.7916827065744954, -0.9679219377215519, 0.02900439676754674, 0.0698470018760942, 43.43511288930032
9.319000000000274,-0.22836497389963517, 0.3450065943373553, -0.1309183275813979, -0.21862741613888215, 0.7926386745564435, -0.967482275212661, 0.02907621355727851, 0.06998189984041495, 43.4135204859873
9.320000000000274,-0.22849470255249568, 0.3447865160320835, -0.13012521110081535, -0.21959467556084394, 0.7935942866086483, -0.967036568710953, 0.02914835762646888, 0.07011724315443751, 43.39198959949283
9.321000000000273,-0.22862363665573238, 0.34456547114049024, -0.12933113919140357, -0.2205614862491047, 0.7945495322148942, -0.9665848078105757, 0.029220829193532312, 0.07025303147209588, 43.37052005455533
9.322000000000273,-0.228751775254474, 0.34434346012039874, -0.128536112224871, -0.22152784214404903, 0.7955044008502445, -0.9661269820780629, 0.029293628462687255, 0.07038926444155032, 43.34911167641252
9.323000000000272,-0.22887911739423675, 0.34412048343570734, -0.12774013058345537, -0.22249373717561424, 0.7964588819809706, -0.9656630810523515, 0.02936675562393183, 0.07052594170518608, 43.32776429080003
9.324000000000272,-0.22900566212093493, 0.34389654155640026, -0.12694319465993265, -0.22345916526326276, 0.7974129650644771, -0.9651930942446564, 0.02944021085301993, 0.07066306289961216, 43.306477723949975
9.325000000000271,-0.2291314084808914, 0.34367163495855796, -0.1261453048576258, -0.22442412031595432, 0.7983666395492374, -0.9647170111384797, 0.029513994311437676, 0.07080062765565985, 43.28525180258952
9.32600000000027,-0.2292563555208482, 0.3434457641243678, -0.12534646159041382, -0.22538859623211835, 0.7993198948747147, -0.9642348211895897, 0.02958810614638029, 0.07093863559838055, 43.2640863539395
9.32700000000027,-0.2293805022879771, 0.3432189295421344, -0.12454666528274082, -0.22635258689962612, 0.8002727204712953, -0.9637465138259566, 0.029662546490729316, 0.07107708634704586, 43.24298120571297
9.32800000000027,-0.22950384782989017, 0.3429911317062906, -0.12374591636962506, -0.227316086195763, 0.8012251057602198, -0.9632520784477846, 0.029737315463030264, 0.07121597951514473, 43.22193618611388
9.329000000000269,-0.22962639119465036, 0.34276237111740765, -0.1229442152966682, -0.2282790879872006, 0.8021770401535016, -0.9627515044274294, 0.029812413167470603, 0.07135531471038357, 43.20095112383558
9.330000000000268,-0.22974813143078213, 0.3425326482822063, -0.12214156252006451, -0.229241586129969, 0.8031285130538681, -0.9622447811093922, 0.02988783969385816, 0.07149509153468535, 43.18002584805949
9.331000000000268,-0.229869067587282, 0.34230196371356714, -0.12133795850661025, -0.23020357446942888, 0.8040795138546752, -0.9617318978103309, 0.02996359511759992, 0.07163530958418797, 43.15916018845371
9.332000000000267,-0.22998919871362927, 0.3420703179305415, -0.12053340373371299, -0.23116504684024355, 0.8050300319398445, -0.9612128438190211, 0.030039679499681154, 0.07177596844924371, 43.13835397517159
9.333000000000267,-0.23010852385979652, 0.34183771145836206, -0.11972789868940117, -0.23212599706635126, 0.8059800566837882, -0.9606876083963705, 0.03011609288664501, 0.07191706771441869, 43.11760703885039
